Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,IDA total,IDA,..,2.5650200843811,3.4709300994873,3.34273505210877,3.38488006591797,3.49415993690491,3.45692110061646,3.53558993339539,3.39011991024017,3.48489046096802,3.27785003185272,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Late-demographic dividend,LTE,..,3.85399007797241,4.37038993835449,4.68665504455566,4.58498001098633,4.51231980323792,4.36381006240845,4.31822395324707,4.34633493423462,4.15661001205444,4.38912677764892,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Latin America & Caribbean,LCN,..,3.77583003044128,4.54576706886292,4.84394001960754,4.76003003120423,4.47038984298706,4.2573413848877,4.35769987106323,4.35166001319886,4.22565984725952,4.24667978286743,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Latin America & Caribbean (excluding high income),LAC,..,3.94893002510071,4.64307022094727,4.87855005264282,4.78911018371582,4.47038984298706,4.36275005340576,4.51821994781494,4.44910001754761,4.36593985557556,4.61870002746582,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Latin America & the Caribbean (IDA & IBRD countries),TLA,..,3.64351999759674,4.54982995986938,4.84394001960754,4.76003003120423,4.47038984298706,4.36275005340576,4.47097015380859,4.45954990386963,4.5062198638916,4.55207014083862,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Least developed countries: UN classification,LDC,..,2.59340000152588,3.2534099817276,3.25923001766205,3.12292003631592,3.21439003944397,2.89910006523132,3.12646007537842,3.13677000999451,3.1043199300766,3.04968500137329,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Low & middle income,LMY,..,3.34339499473572,3.60315990447998,3.82439851760864,3.94537496566773,3.88692808151245,3.82523989677429,3.80347990989685,3.86508166790009,3.63983500003815,3.84384500980378,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Low income,LIC,..,2.64547991752625,3.2534099817276,3.06768000125885,3.15555500984192,3.15654504299164,2.95843005180359,2.91391503810882,3.19979000091553,3.23707008361816,3.00211000442505,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Lower middle income,LMC,..,2.9751501083374,3.7124400138855,4.12252998352051,3.82416009902954,4.07843017578125,4.10197019577026,4.08553981781006,3.86611008644104,3.59683990478516,4.11161661148071,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Middle East & North Africa,MEA,..,..,3.75,4.07384014129639,4.02569496631622,4.21042490005493,4.71000003814697,4.2559700012207,5.20723009109497,3.86736989021301,3.77493500709534,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Middle East & North Africa (excluding high income),MNA,..,..,4.74210977554321,4.12252998352051,4.25138998031616,4.21042490005493,4.38000011444091,3.79040002822876,3.9553599357605,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Middle East & North Africa (IDA & IBRD countries),TMN,..,..,4.48239493370056,3.81126499176025,4.25138998031616,3.9308500289917,4.05000019073486,3.76947999000549,3.79154992103577,3.32583498954773,3.63121509552002,..
